Date,load,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2023-02-11 00:00:00,2512.432,22.46,22.78,0.03,-0.35,42,28
2023-02-11 01:00:00,2448.461,22.45,22.78,0.0,-0.33,39,25
2023-02-11 02:00:00,2428.446,21.67,22.02,0.0,-0.35,37,21
2023-02-11 03:00:00,2421.754,20.41,20.73,0.0,-0.32,36,17
2023-02-11 04:00:00,2466.261,20.39,20.69,0.0,-0.3,36,16
2023-02-11 05:00:00,2571.384,20.38,20.62,0.0,-0.24,36,16
2023-02-11 06:00:00,2757.55,29.07,29.57,0.0,-0.5,36,18
2023-02-11 07:00:00,2893.321,43.5,44.32,0.0,-0.8200000000000001,35,18
2023-02-11 08:00:00,2911.325,27.71,28.17,0.0,-0.46,36,18
2023-02-11 09:00:00,2834.285,20.06,20.27,0.0,-0.21,37,17
2023-02-11 10:00:00,2724.4240000000004,21.67,21.83,0.0,-0.16,39,18
2023-02-11 11:00:00,2657.913,20.73,20.77,0.03,-0.07,41,18
2023-02-11 12:00:00,2579.634,15.89,15.89,0.02,-0.02,41,18
2023-02-11 13:00:00,2575.051,15.29,15.32,0.0,-0.03,43,18
2023-02-11 14:00:00,2617.241,18.11,18.21,0.0,-0.1,43,17
2023-02-11 15:00:00,2763.187,22.19,22.5,0.0,-0.31,44,17
2023-02-11 16:00:00,3017.356,29.7,30.33,0.0,-0.63,42,16
2023-02-11 17:00:00,3282.7209999999995,54.58,55.97,0.0,-1.39,41,16
2023-02-11 18:00:00,3373.658,54.12000000000001,55.58,0.0,-1.46,37,16
2023-02-11 19:00:00,3317.534,47.81,49.03,0.0,-1.22,34,17
2023-02-11 20:00:00,3244.291,39.86,40.85,0.0,-0.99,34,16
2023-02-11 21:00:00,3128.536,31.57,32.24,0.0,-0.67,29,17
2023-02-11 22:00:00,2978.286,26.4,26.87,0.0,-0.47,29,18
2023-02-11 23:00:00,2823.882,22.87,23.19,0.0,-0.32,27,18
2023-02-12 00:00:00,2709.011,23.34,23.57,0.03,-0.26,31,18
2023-02-12 01:00:00,2617.366,23.74,23.92,0.04,-0.22,27,18
2023-02-12 02:00:00,2592.59,24.51,24.68,0.04,-0.21,27,18
2023-02-12 03:00:00,2584.713,26.04,26.28,0.04,-0.28,29,19
2023-02-12 04:00:00,2611.279,54.84,55.39,0.09,-0.64,28,19
2023-02-12 05:00:00,2694.744,26.73,27.04,0.01,-0.32,27,18
2023-02-12 06:00:00,2804.81,31.71,32.11,0.0,-0.4,26,18
2023-02-12 07:00:00,2913.927,31.28,31.76,0.0,-0.48,25,18
2023-02-12 08:00:00,2966.903,23.95,24.27,0.0,-0.32,27,20
2023-02-12 09:00:00,2922.1090000000004,22.59,22.91,0.0,-0.32,33,22
2023-02-12 10:00:00,2936.0,23.15,23.44,0.0,-0.29,36,22
2023-02-12 11:00:00,2931.324,23.27,23.52,0.0,-0.25,41,21
